status,x,y,z,azimuth,elevation,roll,button,quality,time,image_ts,image_filename
0x0000,213.866,150.354,-11.162,139.328,-83.836,111.559,1,4,1743801343907,1743801343904,data_Color_1743801343904.50585937500000.png
0x0000,213.754,150.242,-11.05,139.275,-83.843,111.589,1,4,1743801343973,1743801343971,data_Color_1743801343971.64062500000000.png
0x0000,213.643,150.242,-11.05,139.275,-83.841,111.559,1,4,1743801344040,1743801344038,data_Color_1743801344038.95703125000000.png
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.559,1,4,1743801344106,1743801344106,data_Color_1743801344106.12207031250000.png
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.453,1,4,1743801344173,1743801344173,data_Color_1743801344173.26611328125000.png
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.453,1,4,1743801344240,1743801344240,data_Color_1743801344240.59033203125000.png
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.348,1,4,1743801344306,1743801344307,data_Color_1743801344307.66528320312500.png
0x0000,213.754,150.13,-11.05,139.549,-83.826,111.242,1,4,1743801344373,1743801344375,data_Color_1743801344375.10913085937500.png
0x0000,213.754,150.019,-11.162,139.716,-83.819,111.032,1,4,1743801344439,1743801344442,data_Color_1743801344442.26464843750000.png
0x0000,213.754,150.019,-11.162,139.873,-83.803,110.898,1,4,1743801344506,1743801344509,data_Color_1743801344509.21582031250000.png
0x0000,213.754,150.019,-11.162,140.039,-83.795,110.764,1,4,1743801344572,1743801344576,data_Color_1743801344576.47778320312500.png
0x0000,213.754,150.019,-11.162,140.029,-83.782,110.707,1,4,1743801344639,1743801344643,data_Color_1743801344643.76318359375000.png
0x0000,213.754,149.907,-11.162,140.133,-83.771,110.679,1,4,1743801344705,1743801344711,data_Color_1743801344711.11889648437500.png
0x0000,213.754,149.907,-11.05,140.194,-83.774,110.575,1,4,1743801344772,1743801344777,data_Color_1743801344777.93969726562500.png
0x0000,213.866,149.907,-11.05,139.977,-83.787,110.811,1,4,1743801344850,1743801344845,data_Color_1743801344845.24072265625000.png
0x0000,213.866,149.796,-11.05,139.354,-83.874,111.42,1,4,1743801344916,1743801344912,data_Color_1743801344912.55200195312500.png
0x0000,214.201,149.684,-11.274,137.043,-84.231,113.865,1,4,1743801344983,1743801344979,data_Color_1743801344979.56738281250000.png
0x0000,214.647,149.572,-11.609,132.552,-84.698,118.457,1,3,1743801345050,1743801345047,data_Color_1743801345047.00634765625000.png
0x0000,214.982,149.461,-11.832,128.014,-85.138,123.073,1,3,1743801345116,1743801345114,data_Color_1743801345114.10327148437500.png
